Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Banyo_Sayısı
110.0,150.0,3.0,2.Kat,0,4.0,Diğer,15.319588176962746,adana,2.0,Mülk Sahibi Oturuyor,1,0,1.0
135.0,159.99999999999997,4.0,3.Kat,0,4.0,Kombi Doğalgaz,14.959733676355723,adana,3.0,Boş,1,0,2.0
100.0,120.0,3.0,2.Kat,0,1.0,Kombi Doğalgaz,13.989464705423492,adana,3.0,Boş,1,0,2.0
105.0,137.0,4.0,6.Kat,0,1.0,Kombi Doğalgaz,14.316286451937186,adana,5.999999999999999,Boş,0,0,1.0
160.0,180.0,4.0,3.Kat,0,4.0,Diğer,14.910784279814973,adana,7.0,Boş,1,1,2.0
85.0,110.0,3.0,8.Kat,0,1.0,Kombi Doğalgaz,14.24729362374025,adana,11.0,Mülk Sahibi Oturuyor,1,1,1.0
100.0,125.00000000000004,3.0,2.Kat,0,1.0,Kombi Doğalgaz,14.77102238760702,adana,7.0,Kiracı Oturuyor,1,0,1.0
140.0,159.99999999999997,4.0,9.Kat,0,5.0,Kombi Doğalgaz,14.50112997588164,adana,9.0,Boş,1,0,2.0
120.0,125.00000000000004,4.0,4.Kat,0,2.0,Diğer,15.039286283703996,adana,4.0,Mülk Sahibi Oturuyor,1,0,2.0
100.0,120.0,4.0,1.Kat,0,1.0,Kombi Doğalgaz,14.54305964833322,adana,13.0,Boş,1,0,2.0
250.0,300.0,5.0,14.Kat,0,4.0,Merkezi Doğalgaz,15.949677117676544,adana,15.0,Boş,1,0,3.0
180.0,220.0,5.0,7.Kat,0,2.0,Klimalı,15.06541258071152,adana,1.0,Mülk Sahibi Oturuyor,0,1,2.0
160.0,200.0,5.0,6.Kat,0,0.0,Kombi Doğalgaz,15.829079489004744,adana,2.0,Boş,1,1,1.0
120.0,272.0,4.0,Bahçe Katı,0,1.0,Diğer,14.72979968796928,adana,1.0,Boş,1,0,1.0
